collision_failure_count,object_size_x,object_size_z,object_yaw_rad,object_volume_aabb
0,0.262154,0.065031,-0.147788,0.00165535
0,0.262154,0.065031,-2.268876,0.00165535
0,0.314585,0.078038,-0.435561,0.00286045
0,0.262154,0.065031,0.618381,0.00165535
0,0.314585,0.078038,-0.435561,0.00286045
0,0.262154,0.065031,0.410806,0.00165535
0,0.262154,0.065031,-2.73537,0.00165535
0,0.262154,0.065031,1.773342,0.00165535
0,0.262154,0.065031,-1.366215,0.00165535
0,0.262154,0.065031,-0.147788,0.00165535
0,0.262154,0.065031,2.009728,0.00165535
1,0.314585,0.078038,-0.435561,0.00286045
0,0.262154,0.065031,1.773342,0.00165535
0,0.262154,0.065031,-1.366215,0.00165535
0,0.262154,0.065031,2.858129,0.00165535
0,0.262154,0.065031,0.562916,0.00165535
0,0.262154,0.065031,0.308953,0.00165535
0,0.314585,0.078038,0.222927,0.00286045
0,0.262154,0.065031,2.858129,0.00165535
0,0.262154,0.065031,0.562916,0.00165535
0,0.262154,0.065031,0.308953,0.00165535
0,0.262154,0.065031,0.562916,0.00165535
0,0.262154,0.065031,0.308953,0.00165535
0,0.314585,0.078038,0.222927,0.00286045
0,0.262154,0.065031,2.858129,0.00165535
0,0.262154,0.065031,0.562916,0.00165535
0,0.262154,0.065031,0.308953,0.00165535
0,0.314585,0.078038,0.222927,0.00286045
0,0.262154,0.065031,2.858129,0.00165535
0,0.262154,0.065031,0.562916,0.00165535
0,0.262154,0.065031,0.308953,0.00165535
0,0.262154,0.065031,1.335097,0.00165535
0,0.262154,0.065031,-0.005614,0.00165535
1,0.262154,0.065031,1.335097,0.00165535
0,0.262154,0.065031,-0.005614,0.00165535
0,0.367016,0.091044,-1.537352,0.00454229
0,0.262154,0.065031,1.335097,0.00165535
0,0.367016,0.091044,-1.537352,0.00454229
0,0.262154,0.065031,1.335097,0.00165535
0,0.262154,0.065031,-0.005614,0.00165535
0,0.262154,0.065031,1.335097,0.00165535
0,0.262154,0.065031,-0.005614,0.00165535
0,0.262154,0.065031,-1.709057,0.00165535
0,0.262154,0.065031,-3.128943,0.00165535
0,0.262154,0.065031,2.944394,0.00165535
0,0.262154,0.065031,-1.709057,0.00165535
0,0.262154,0.065031,-3.128943,0.00165535
0,0.262154,0.065031,-2.374671,0.00165535
0,0.262154,0.065031,-1.709057,0.00165535
0,0.262154,0.065031,-1.709057,0.00165535
1,0.262154,0.065031,-1.709057,0.00165535
1,0.262154,0.065031,-3.128943,0.00165535
0,0.262154,0.065031,-2.374671,0.00165535
0,0.262154,0.065031,2.944394,0.00165535
0,0.262154,0.065031,-1.709057,0.00165535
1,0.262154,0.065031,-3.128943,0.00165535
0,0.262154,0.065031,-1.709057,0.00165535
1,0.262154,0.065031,-3.128943,0.00165535
0,0.262154,0.065031,-2.374671,0.00165535
0,0.262154,0.065031,-2.178458,0.00165535
0,0.262154,0.065031,-0.358107,0.00165535
0,0.262154,0.065031,-1.765128,0.00165535
0,0.262154,0.065031,-2.178458,0.00165535
0,0.262154,0.065031,-0.358107,0.00165535
0,0.262154,0.065031,-1.765128,0.00165535
0,0.262154,0.065031,-2.178458,0.00165535
0,0.262154,0.065031,-2.178458,0.00165535
0,0.262154,0.065031,-1.765128,0.00165535
0,0.367016,0.091044,2.987969,0.00454229
0,0.262154,0.065031,-0.358107,0.00165535
0,0.262154,0.065031,-1.765128,0.00165535
0,0.262154,0.065031,-1.765128,0.00165535
0,0.262154,0.065031,-1.765128,0.00165535
0,0.314585,0.078038,0.217467,0.00286045
0,0.367016,0.091044,-2.007153,0.00454229
0,0.314585,0.078038,0.217467,0.00286045
1,0.314585,0.078038,0.217467,0.00286045
0,0.262154,0.065031,3.138536,0.00165535
0,0.262154,0.065031,-0.660641,0.00165535
0,0.262154,0.065031,1.702635,0.00165535
1,0.262154,0.065031,3.138536,0.00165535
0,0.262154,0.065031,-0.784884,0.00165535
0,0.262154,0.065031,-1.605133,0.00165535
0,0.314585,0.078038,2.940969,0.00286045
0,0.262154,0.065031,-0.660641,0.00165535
0,0.262154,0.065031,1.511336,0.00165535
0,0.367016,0.091044,-2.079184,0.00454229
0,0.262154,0.065031,1.702635,0.00165535
0,0.262154,0.065031,-0.660641,0.00165535
0,0.262154,0.065031,-1.605133,0.00165535
0,0.262154,0.065031,-0.660641,0.00165535
0,0.262154,0.065031,1.702635,0.00165535
0,0.262154,0.065031,3.138536,0.00165535
0,0.314585,0.078038,2.940969,0.00286045
0,0.262154,0.065031,-0.660641,0.00165535
0,0.262154,0.065031,1.511336,0.00165535
0,0.367016,0.091044,-2.079184,0.00454229
0,0.262154,0.065031,1.702635,0.00165535
0,0.262154,0.065031,-2.327656,0.00165535
0,0.262154,0.065031,-0.660641,0.00165535
1,0.367016,0.091044,-2.079184,0.00454229
0,0.262154,0.065031,-2.327656,0.00165535
0,0.262154,0.065031,0.038927,0.00165535
1,0.262154,0.065031,-1.605133,0.00165535
1,0.314585,0.078038,2.940969,0.00286045
0,0.262154,0.065031,-0.660641,0.00165535
0,0.262154,0.065031,1.702635,0.00165535
0,0.262154,0.065031,-1.119464,0.00165535
0,0.262154,0.065031,0.434923,0.00165535
1,0.262154,0.065031,-2.546338,0.00165535
1,0.262154,0.065031,0.511949,0.00165535
0,0.262154,0.065031,1.1532,0.00165535
0,0.262154,0.065031,0.434923,0.00165535
0,0.262154,0.065031,-2.546338,0.00165535
0,0.314585,0.078038,-0.277556,0.00286045
0,0.262154,0.065031,1.1532,0.00165535
0,0.262154,0.065031,2.060705,0.00165535
0,0.367016,0.091044,-1.899045,0.00454229
0,0.262154,0.065031,0.434923,0.00165535
0,0.262154,0.065031,-2.546338,0.00165535
0,0.262154,0.065031,2.060705,0.00165535
0,0.262154,0.065031,0.434923,0.00165535
0,0.262154,0.065031,-2.546338,0.00165535
0,0.367016,0.091044,0.632024,0.00454229
0,0.314585,0.078038,-0.277556,0.00286045
0,0.262154,0.065031,0.434923,0.00165535
1,0.262154,0.065031,-2.546338,0.00165535
0,0.367016,0.091044,0.632024,0.00454229
0,0.262154,0.065031,-2.546338,0.00165535
0,0.262154,0.065031,0.511949,0.00165535
0,0.314585,0.078038,-0.277556,0.00286045
0,0.262154,0.065031,1.1532,0.00165535
0,0.262154,0.065031,-2.362145,0.00165535
0,0.262154,0.065031,1.031828,0.00165535
1,0.262154,0.065031,-3.099211,0.00165535
0,0.367016,0.091044,1.593693,0.00454229
0,0.367016,0.091044,1.477908,0.00454229
0,0.262154,0.065031,-2.362145,0.00165535
0,0.262154,0.065031,1.031828,0.00165535
0,0.314585,0.078038,-0.559546,0.00286045
0,0.262154,0.065031,-0.059149,0.00165535
0,0.262154,0.065031,-3.099211,0.00165535
0,0.262154,0.065031,-1.119404,0.00165535
0,0.262154,0.065031,-2.362145,0.00165535
0,0.262154,0.065031,1.031828,0.00165535
0,0.262154,0.065031,-1.638189,0.00165535
0,0.262154,0.065031,-2.362145,0.00165535
0,0.262154,0.065031,1.031828,0.00165535
0,0.314585,0.078038,-0.559546,0.00286045
0,0.262154,0.065031,-3.099211,0.00165535
0,0.367016,0.091044,2.343112,0.00454229
0,0.262154,0.065031,-2.362145,0.00165535
1,0.262154,0.065031,-2.362145,0.00165535
1,0.262154,0.065031,1.031828,0.00165535
0,0.314585,0.078038,-0.559546,0.00286045
0,0.262154,0.065031,-3.099211,0.00165535
1,0.262154,0.065031,1.629161,0.00165535
0,0.262154,0.065031,-2.011051,0.00165535
0,0.262154,0.065031,-1.136865,0.00165535
0,0.314585,0.078038,-0.026276,0.00286045
0,0.262154,0.065031,-1.479418,0.00165535
0,0.314585,0.078038,-2.12306,0.00286045
0,0.262154,0.065031,1.629161,0.00165535
1,0.262154,0.065031,1.940753,0.00165535
0,0.262154,0.065031,1.49014,0.00165535
0,0.262154,0.065031,-2.011051,0.00165535
0,0.262154,0.065031,-1.136865,0.00165535
0,0.367016,0.091044,1.250753,0.00454229
0,0.262154,0.065031,-2.011051,0.00165535
0,0.262154,0.065031,-1.136865,0.00165535
1,0.314585,0.078038,-0.565718,0.00286045
0,0.262154,0.065031,-1.479418,0.00165535
1,0.262154,0.065031,1.629161,0.00165535
0,0.262154,0.065031,1.940753,0.00165535
0,0.262154,0.065031,1.49014,0.00165535
0,0.262154,0.065031,-2.011051,0.00165535
0,0.262154,0.065031,-1.136865,0.00165535
0,0.262154,0.065031,-2.011051,0.00165535
0,0.262154,0.065031,-1.136865,0.00165535
0,0.314585,0.078038,-0.565718,0.00286045
0,0.262154,0.065031,-2.011051,0.00165535
0,0.262154,0.065031,-1.136865,0.00165535
0,0.262154,0.065031,-0.403177,0.00165535
0,0.262154,0.065031,-1.978338,0.00165535
0,0.262154,0.065031,-1.375886,0.00165535
0,0.262154,0.065031,0.403839,0.00165535
0,0.262154,0.065031,-1.0597,0.00165535
0,0.262154,0.065031,-2.428484,0.00165535
0,0.262154,0.065031,-0.403177,0.00165535
0,0.262154,0.065031,1.317377,0.00165535
1,0.262154,0.065031,1.95842,0.00165535
0,0.262154,0.065031,1.818829,0.00165535
0,0.262154,0.065031,-1.978338,0.00165535
1,0.262154,0.065031,-1.375886,0.00165535
0,0.262154,0.065031,0.403839,0.00165535
0,0.262154,0.065031,-1.0597,0.00165535
0,0.262154,0.065031,1.818829,0.00165535
0,0.262154,0.065031,-2.428484,0.00165535
0,0.262154,0.065031,-0.403177,0.00165535
0,0.262154,0.065031,-1.978338,0.00165535
0,0.262154,0.065031,-1.375886,0.00165535
0,0.262154,0.065031,-1.0597,0.00165535
0,0.262154,0.065031,-0.403177,0.00165535
0,0.262154,0.065031,1.818829,0.00165535
0,0.262154,0.065031,-1.978338,0.00165535
0,0.262154,0.065031,-1.375886,0.00165535
0,0.262154,0.065031,-1.0597,0.00165535
0,0.262154,0.065031,-1.978338,0.00165535
0,0.262154,0.065031,-1.0597,0.00165535
0,0.262154,0.065031,-2.428484,0.00165535
1,0.262154,0.065031,-0.403177,0.00165535
0,0.262154,0.065031,-1.375886,0.00165535
0,0.262154,0.065031,-1.0597,0.00165535
